X,Y,OBJECTID,SH,RS,RP,siteRef,lane,type,percentHeavy,equipmentCurrent,description,region,acceptedDays,AADT5yearsAgo,AADT4yearsAgo,AADT3yearsAgo,AADT2yearsAgo,AADT1yearAgo,siteType
1717358.4049,6054864.2009,64,1N,245,9.69999980926514,01N00255,Both,Non-Continuous,9.1,Dual Loop,About 400m north of Apotu Rd & south arm of Salesyards Rd Kauri,01 - Northland,28,11693,12067,11849,12151,11784,Regional Non-Continuous
1718819.276,6045932.8826,65,1N,258,2.14100003242493,01N00260,Both,Non-Continuous,9.5,Dual Loop,Kamo Bypass about 250m north of Kamo Rd (just N of railway bridge),01 - Northland,28,12019,12095,12176,12416,11402,Regional Non-Continuous
1718887.5534,6049019.0166,66,1N,258,3.34100008010864,01N00261,Both,Non-Continuous,7.1,Dual Loop,Kamo Bypass south of Pone Rere Drive,01 - Northland,28,16151,17283,17944,18263,16688,Regional Non-Continuous
1718485.0045,6050091.6487,67,1N,258,4.2480001449585,01N00262,Both,Non-Continuous,6.3,Dual Loop,50m N of Titoki Place 200m S of Percy St Whau Valley,01 - Northland,28,20994,20908,21987,21813,20113,Regional Non-Continuous
1718970.0223,6046416.096,68,1N,258,6.15000009536743,01N00264,Both,Continuous,6,Dual Loop,Western Hills Drive about 350m north of Selwyn Avenue Whangarei,01 - Northland,355,25449,25911,27378,27610,24951,Regional Continuous
1718575.1959,6044389.7935,69,1N,266,0.620000004768372,01N00267,Both,Non-Continuous,6.3,Dual Loop,Otakia Rd N of Raumanga Valley Rd 100m S of Tarewa Rd Whangarei,01 - Northland,16,26547,27732,27652,,21737,Regional Non-Continuous
1718312.7895,6042977.6165,70,1N,266,2.21000003814697,01N00268,Both,Non-Continuous,7.4,Dual Loop,Imm S of Cemetery Bridge 100m N of Tauroa St Raumanga,01 - Northland,28,19103,20206,20375,19867,17908,Regional Non-Continuous
1718350.5702,6039829.767,71,1N,266,5.51000022888184,01N00271,Both,Non-Continuous,8.8,Dual Loop,About 400m north of northern Loop Rd exit north of Otaika,01 - Northland,28,17656,19086,19150,19683,17553,Regional Non-Continuous
1716948.5497,6038000.9233,72,1N,272,2.08699989318848,01N00274,Both,Continuous,11.5,Dual Loop,Nth of Maungakaramea Rd Puwera,01 - Northland,290,16790,17755,18071,18944,16512,Regional Continuous
1726306.6629,6029811.5693,73,1N,273,13.6800003051758,01N00287,Both,Non-Continuous,11.8,Dual Loop,About 300m north of Yovich Rd/Flyger Rd,01 - Northland,28,13936,14547,14968,15360,13442,Regional Non-Continuous
1731301.6285,6021395.2476,74,1N,292,6.23000001907349,01N00299,Both,Non-Continuous,10.4,Dual Loop,Nth of Uretiti Rd about 2.5km S of Ruakaka,01 - Northland,28,11779,12664,12862,12951,11597,Regional Non-Continuous
1727847.9252,6015445.6736,75,1N,303,2.65000009536743,01N00309,Both,Non-Continuous,12.9,Dual Loop,About 400m south of Glenmohr Rd about 650m N of Schultz Rd,01 - Northland,28,9527,9975,10178,10225,8962,Regional Non-Continuous
1733605.2406,5990367.1338,76,1N,319,17.1200008392334,01N00336,Both,National,12.4,Telemetry,WELLSFORD - Telemetry Site 17,01 - Northland,355,10633,11248,11468,11438,9844,Telemetry
1718905.6447,6048980.0749,77,1N,258,3.34100008010864,01N10261,Inc,Non-Continuous,7.1,Dual Loop,Kamo Bypass south of Pone Rere Drive- Inc(SB),01 - Northland,,8242,8979,9233,9490,9951,Regional Non-Continuous
1718970.9946,6046427.0947,78,1N,258,6.08799982070923,01N10264,Inc,Continuous,6,Dual Loop,Western Hills Drive about 350m north of Selwyn Avenue - Inc,01 - Northland,3,12956,13399,13991,14097,12558,Regional Continuous
1718415.4929,6045498.0238,79,1N,258,7.40000009536743,01N10265,Inc,Non-Continuous,5.6,Dual Loop,About 180m south of Selwyn Avenue - Inc (S/B),01 - Northland,29,13176,13583,14231,14243,13016,Regional Non-Continuous
1718905.6447,6048980.0749,80,1N,258,3.34100008010864,01N20261,Dec,Non-Continuous,7.1,Dual Loop,Kamo Bypass south of Pone Rere Drive- Dec(NB),01 - Northland,,7908,8304,8710,8772,9047,Regional Non-Continuous
1718970.9946,6046427.0947,81,1N,258,6.08799982070923,01N20264,Dec,Continuous,6,Dual Loop,Western Hills Drive about 350m north of Selwyn Avenue - Dec,01 - Northland,3,12493,12611,13457,13582,12156,Regional Continuous
1718415.4929,6045498.0238,82,1N,258,7.40000009536743,01N20265,Dec,Non-Continuous,5.5,Dual Loop,About 180m south of Selwyn Avenue - Dec (N/B),01 - Northland,29,12341,12597,13475,13923,12815,Regional Non-Continuous
1729332.2785,6027135.7758,83,1N,291,0,01N80291,Ramp,Virtual,13.5,Virtual,RAB of Port Marsden Hwy,01 - Northland,,17791,18796,19468,19723,17302,Virtual
1757752.1124,5919671.3865,84,16,0,0.699999988079071,01600001,Both,Virtual,8.9,Virtual,SH16 Stanley St East of Alten Rd - Virtual,02 - Auckland,,48052,50562,51625,52420,43954,Virtual
1741079.1755,5927502.6254,85,16,19,0.610000014305115,01600023,Both,Non-Continuous,3.9,Dual Loop,SH16 Sth of Coatesville Riverhead Highway,02 - Auckland,22,33140,35740,36606,37026,34550,Regional Non-Continuous
1740828.1167,5927551.1056,86,16,19,1.71000003814697,01600024,Both,Continuous,4.4,Dual Loop,SH16 Nth of Coatesville Riverhead Highway,02 - Auckland,365,26863,27916,28785,29026,27025,Regional Continuous
1738499.5038,5929019.107,87,16,19,5.36999988555908,01600027,Both,Continuous,2.8,Dual Loop,SH16 Nth of Access Rd,02 - Auckland,39,22157,22615,23300,22901,20660,Regional Continuous
1735754.1977,5929897.3368,88,16,19,7.96000003814697,01600031,Both,Continuous,4.2,Dual Loop,SH16 Sth of Matua Rd (Nth),02 - Auckland,37,15226,15715,15568,15551,13868,Regional Continuous
1734414.2212,5930009.5754,89,16,19,9.3100004196167,01600032,Both,Non-Continuous,4.6,Dual Loop,SH16 Sth of Joyce Adams Pl,02 - Auckland,,14877,15388,15467,15450,13800,Regional Non-Continuous
1728268.1831,5935035.91,90,16,37,3.19000005722046,01600040,Both,Continuous,6.8,Dual Loop,SH16 Sth of Hutchison Rd,02 - Auckland,52,5505,5858,5635,5766,4953,Regional Continuous
1728958.4947,5940118.181,91,16,47,0.280000001192093,01600048,Both,Non-Continuous,5.1,Dual Loop,SH16 Sth of Helensville Rail Bridge,02 - Auckland,,7266,7685,7616,7750,6900,Regional Non-Continuous
1731076.4057,5943763.7796,92,16,47,7.15999984741211,01600055,Both,Continuous,7,Dual Loop,SH16 Sth of Inland Rd,02 - Auckland,52,3380,3751,3882,4081,3637,Regional Continuous
1733946.369,5946336.2676,93,16,47,11.9799995422363,01600058,Both,Continuous,5.5,Dual Loop,SH16 Nth of Kahikatea Flat Rd (Kaukapakapa Bridge),02 - Auckland,365,5031,5344,5523,5684,5221,Regional Continuous
1732956.145,5949377.4961,94,16,47,16.1200008392334,01600063,Both,Non-Continuous,5.6,Dual Loop,SH16 Sth of Quail Rd,02 - Auckland,35,2814,3018,3132,3186,2933,Regional Non-Continuous
1729724.6559,5960208.9953,95,16,69,7.32000017166138,01600076,Both,Continuous,8.1,Dual Loop,SH16 Nth of West Coast Rd,02 - Auckland,50,1277,1487,1688,1656,1564,Regional Continuous
1730362.2025,5973530.0677,96,16,82,9.43000030517578,01600092,Both,Continuous,9.7,Dual Loop,SH16 Tauhoa Bridge,02 - Auckland,51,1157,1302,1362,1349,1429,Regional Continuous
1734511.4969,5980959.5496,97,16,92,11.1499996185303,01600103,Both,Continuous,7,Dual Loop,SH16 Nth of Port Albert Rd,02 - Auckland,363,2389,2604,2698,2694,2485,Regional Continuous
1757641.4586,5919504.1759,98,16,0,1.29999995231628,01610001,Inc,Virtual,7.6,Virtual,SH16 Alten Rd to Grafton Rd Off Ramp WB - Virtual,02 - Auckland,,27933,29017,29421,29939,25078,Virtual
1757615.5657,5919452.1277,99,16,0,2,01610002,Inc,Non-Continuous,3.5,Dual Loop,SH16 SH1 Off Ramp to Wellesley St On Ramp WB,02 - Auckland,43,12991,14466,15149,15826,12948,Regional Non-Continuous
1756587.3705,5919093.0826,100,16,0,3,01610003,Inc,Continuous,8.5,Virtual,SH16 Northern Off Ramp to SH1 On Ramp WB - Virtual,02 - Auckland,345,13662,13386,15841,16596,12618,Virtual
1756336.7405,5918919.5918,101,16,0,3.40000009536743,01610004,Inc,Virtual,7,Virtual,SH16 SH1 On Ramp to Northern / Hobson St On Ramp WB - Virtual,02 - Auckland,,33796,33374,34459,35377,30622,Virtual
1755621.0911,5918278.2053,102,16,0,5,01610005,Inc,Virtual,7,Virtual,SH16 Newton Rd On Ramp to St Lukes Rd Off Ramp WB - Virtual,02 - Auckland,,64026,68175,74549,75971,63741,Virtual
1754927.1271,5918289.8093,103,16,0,6.05999994277954,01610006,Inc,Virtual,7,ATMS (Dual Loop),SH16 St Lukes Rd Interchange WB,02 - Auckland,,46321,51959,58216,59736,50412,Virtual
1752568.8509,5918038.0974,104,16,0,7,01610007,Inc,Virtual,4.1,Virtual,SH16 St Lukes Rd On Ramp to Great Nth Rd Off Ramp WB - Virtual,02 - Auckland,,54119,60623,68928,70584,59867,Virtual
1751858.1753,5917911.6847,105,16,0,8.5,01610008,Inc,Continuous,4.1,ATMS (Dual Loop),SH16 Great Nth Rd Interchange WB,02 - Auckland,354,36214,35387,33790,33795,30052,Regional Continuous
1748907.4774,5918418.7116,106,16,7,2.5699999332428,01610009,Inc,Continuous,4.2,ATMS (Dual Loop),SH16 Rosebank Rd Off Ramp to Patiki Rd On Ramp WB,02 - Auckland,361,42427,47880,53025,54343,49592,Regional Continuous
1748170.9734,5919211.1401,107,16,7,3.20000004768372,01610010,Inc,Virtual,8.2,Virtual,SH16 Patiki Rd On Ramp to Te Atatu Rd Off Ramp WB - Virtual,02 - Auckland,,50625,56111,60909,62274,56958,Virtual
1747447.355,5919562.6437,108,16,7,4.01999998092651,01610011,Inc,Continuous,8.2,ATMS (Dual Loop),SH16 Te Atatu Rd Interchange WB,02 - Auckland,365,33516,37636,39823,40574,37891,Regional Continuous
1746394.3621,5920122.4564,109,16,7,5.19999980926514,01610012,Inc,Virtual,8.2,Virtual,SH16 Te Atatu Rd On Ramp to Lincoln Rd Off Ramp WB - Virtual,02 - Auckland,,40772,45410,48579,49504,46773,Virtual
1745697.5566,5920567.9965,110,16,7,5.8600001335144,01610013,Inc,Continuous,3.3,ATMS (Dual Loop),SH16 Lincoln Rd Interchange WB,02 - Auckland,363,23761,26815,29625,30355,29927,Regional Continuous
1744742.9956,5921406.9609,111,16,7,7.30000019073486,01610014,Inc,Virtual,3.3,Virtual,SH16 Lincoln Rd On Ramp to Royal Rd Off Ramp WB - Virtual,02 - Auckland,,36739,38851,41139,41171,40292,Virtual
1744397.7446,5922546.1058,112,16,7,9.18000030517578,01610016,Inc,Continuous,4.2,ATMS (Dual Loop),SH16 Royal Rd Off Ramp to Hobsonville Rd / SH18 Off Ramp WB,02 - Auckland,341,28880,31295,33250,33248,32382,Regional Continuous
1743529.7959,5925049.9882,113,16,7,11.1999998092651,01610018,Inc,Continuous,3.3,SCATS,SH16 Hobsonville Rd / SH18 Off Ramp to Brigham Creek Rd Roundabout WB,02 - Auckland,347,8930,9500,9973,9989,9479,Regional Continuous
1752193.9777,5917993.3498,114,16,0,8,01617008,Inc,Virtual,4.1,Virtual,SH16 Great Nth Rd Off Ramp to Southwestern Off Ramp WB - Virtual,02 - Auckland,,,,50590,52227,44226,Virtual
1751362.0976,5917975.6834,115,16,0,8.85000038146973,01618008,Inc,Virtual,4.1,Virtual,SH16 Great North Rd On Ramp to Southwestern On Ramp WB - Virtual,02 - Auckland,,,,41460,41515,37294,Virtual
1757846.8381,5919803.5677,116,16,0,1.55999994277954,01619001,Inc,Continuous,8.5,ATMS (Dual Loop),SH16 Grafton Rd Off Ramp to SH1 Off Ramp WB,02 - Auckland,363,22099,23594,24028,24619,20949,Regional Continuous
1757432.1072,5919190.7778,117,16,0,2.5,01619002,Inc,Virtual,8.5,Virtual,SH16 Wellesley St On Ramp to Northern Off Ramp WB - Virtual,02 - Auckland,,20364,22423,22953,23915,20017,Virtual
1756070.3013,5918652.0775,118,16,0,3.79999995231628,01619004,Inc,Virtual,7,Virtual,SH16 Northern / Hobson On Ramp to Newton Rd On Ramp WB - Virtual,02 - Auckland,,55151,58212,63751,65261,54641,Virtual
1755568.1139,5918269.0995,119,16,0,9.19999980926514,01619008,Inc,Virtual,4.1,Virtual,SH16 Great Nth Rd On Ramp to Rosebank Rd Off Ramp WB - Virtual,02 - Auckland,,47629,54207,59917,61223,55663,Virtual
1757641.4586,5919504.1759,120,16,0,1.29999995231628,01620001,Dec,Virtual,10.7,Virtual,SH16 Alten Rd to Grafton Rd On Ramp EB - Virtual,02 - Auckland,,20119,21545,22204,22481,18876,Virtual
1757553.5484,5919463.0017,121,16,0,2.00999999046326,01620002,Dec,Non-Continuous,3.8,Dual Loop,SH16 SH1 On Ramp to Wellesley St Off Ramp EB,02 - Auckland,47,11433,12684,13505,13811,11550,Regional Non-Continuous
1756493.1868,5919187.885,122,16,0,3,01620003,Dec,Virtual,11.2,Virtual,SH16 Northern On Ramp to SH1 Off Ramp EB - Virtual,02 - Auckland,,12953,13706,15931,16566,13263,Virtual
1756302.6648,5918958.52,123,16,0,3.5,01620004,Dec,Virtual,4,Virtual,SH16 SH1 Off Ramp to Northern / Nelson St Off Ramp EB - Virtual,02 - Auckland,,34779,35491,33533,34526,29422,Virtual
1755602.0264,5918311.1641,124,16,0,5,01620005,Dec,Virtual,4,Virtual,SH16 Newton Rd Off Ramp to St Lukes Rd On Ramp EB - Virtual,02 - Auckland,,62928,66963,71844,73399,62722,Virtual
